TGT,77.0463,20160225_114314,77.0,
AMZN,550.136,20160225_114314,555.62,
MSFT,51.089,20160225_114314,51.73,
OTIV,0.71,20160225_114314,0.71,
PXLW,1.96,20160225_114314,2.0,
GOGO,9.8022,20160225_114314,9.75,
HPQ,10.1,20160225_114319,10.13,
VZ,51.0,20160225_114319,50.9,
HTCKF,9.9,20160225_114319,9.9,
SNE,21.1166,20160225_114319,21.12,
ADBE,85.44,20160225_114319,84.76,
BAC,12.135,20160225_114319,12.14,
GPRO,11.41,20160225_114319,11.69,
FB,107.54,20160225_114319,107.09,
GOOG,698.45,20160225_114319,700.01,
AAPL,96.18,20160225_114319,96.16,
F,12.2301,20160225_114319,12.11,
ARWR,3.85,20160225_114319,3.86,
BWLD,158.14,20160225_114319,159.25,
BP,28.34,20160225_114319,28.83,
WMT,67.44,20160225_114319,67.48,
TGT,77.055,20160225_114319,77.0,
AMZN,550.29,20160225_114319,555.62,
MSFT,51.08,20160225_114319,51.73,
OTIV,0.71,20160225_114319,0.71,
PXLW,1.96,20160225_114319,2.0,
GOGO,9.8022,20160225_114319,9.75,
HPQ,10.1,20160225_114324,10.13,
VZ,51.0,20160225_114324,50.9,
HTCKF,9.9,20160225_114324,9.9,
SNE,21.11,20160225_114324,21.12,
ADBE,85.46,20160225_114324,84.76,
BAC,12.14,20160225_114324,12.14,
GPRO,11.41,20160225_114324,11.69,
FB,107.5275,20160225_114324,107.09,
GOOG,698.45,20160225_114324,700.01,
AAPL,96.1637,20160225_114324,96.16,
F,12.2335,20160225_114324,12.11,
ARWR,3.85,20160225_114324,3.86,
BWLD,158.14,20160225_114324,159.25,
BP,28.34,20160225_114324,28.83,
WMT,67.425,20160225_114324,67.48,
TGT,77.06,20160225_114324,77.0,
AMZN,550.07,20160225_114324,555.62,
MSFT,51.08,20160225_114324,51.73,
OTIV,0.71,20160225_114324,0.71,
PXLW,1.96,20160225_114324,2.0,
GOGO,9.8083,20160225_114324,9.75,
HPQ,10.1,20160225_114329,10.13,
VZ,51.0,20160225_114329,50.9,
HTCKF,9.9,20160225_114329,9.9,
SNE,21.11,20160225_114329,21.12,
ADBE,85.46,20160225_114329,84.76,
BAC,12.13,20160225_114329,12.14,
GPRO,11.409,20160225_114329,11.69,
FB,107.49,20160225_114329,107.09,
GOOG,698.14,20160225_114329,700.01,
AAPL,96.14,20160225_114329,96.16,
F,12.24,20160225_114329,12.11,
ARWR,3.85,20160225_114329,3.86,
BWLD,158.14,20160225_114329,159.25,
BP,28.33,20160225_114329,28.83,
WMT,67.41,20160225_114329,67.48,
TGT,77.05,20160225_114329,77.0,
AMZN,549.7204,20160225_114329,555.62,
MSFT,51.06,20160225_114329,51.73,
OTIV,0.71,20160225_114329,0.71,
PXLW,1.955,20160225_114329,2.0,
GOGO,9.8083,20160225_114329,9.75,
HPQ,10.105,20160225_114334,10.13,
VZ,50.99,20160225_114334,50.9,
HTCKF,9.9,20160225_114334,9.9,
SNE,21.1063,20160225_114334,21.12,
ADBE,85.47,20160225_114334,84.76,
BAC,12.135,20160225_114334,12.14,
GPRO,11.409,20160225_114334,11.69,
FB,107.47,20160225_114334,107.09,
GOOG,698.04,20160225_114334,700.01,
AAPL,96.1437,20160225_114334,96.16,
F,12.235,20160225_114334,12.11,
ARWR,3.85,20160225_114334,3.86,
BWLD,158.14,20160225_114334,159.25,
BP,28.33,20160225_114334,28.83,
WMT,67.4,20160225_114334,67.48,
TGT,77.05,20160225_114334,77.0,
AMZN,549.68,20160225_114334,555.62,
MSFT,51.069,20160225_114334,51.73,
OTIV,0.71,20160225_114334,0.71,
PXLW,1.955,20160225_114334,2.0,
GOGO,9.8083,20160225_114334,9.75,
HPQ,10.1,20160225_114339,10.13,
VZ,50.99,20160225_114339,50.9,
HTCKF,9.9,20160225_114339,9.9,
SNE,21.1063,20160225_114339,21.12,
ADBE,85.43,20160225_114339,84.76,
BAC,12.14,20160225_114339,12.14,
GPRO,11.41,20160225_114339,11.69,
FB,107.47,20160225_114339,107.09,
GOOG,698.04,20160225_114339,700.01,
AAPL,96.15,20160225_114339,96.16,
F,12.23,20160225_114339,12.11,
ARWR,3.85,20160225_114339,3.86,
BWLD,158.14,20160225_114339,159.25,
BP,28.3397,20160225_114339,28.83,
WMT,67.4,20160225_114339,67.48,
TGT,77.05,20160225_114339,77.0,
AMZN,549.68,20160225_114339,555.62,
MSFT,51.07,20160225_114339,51.73,
OTIV,0.71,20160225_114339,0.71,
PXLW,1.955,20160225_114339,2.0,
GOGO,9.8083,20160225_114339,9.75,
HPQ,10.1,20160225_114344,10.13,
VZ,51.0,20160225_114344,50.9,
HTCKF,9.9,20160225_114344,9.9,
SNE,21.1063,20160225_114344,21.12,
ADBE,85.43,20160225_114344,84.76,
BAC,12.135,20160225_114344,12.14,
GPRO,11.42,20160225_114344,11.69,
FB,107.49,20160225_114344,107.09,
GOOG,698.04,20160225_114344,700.01,
AAPL,96.155,20160225_114344,96.16,
F,12.2365,20160225_114344,12.11,
ARWR,3.85,20160225_114344,3.86,
BWLD,158.14,20160225_114344,159.25,
BP,28.34,20160225_114344,28.83,
WMT,67.395,20160225_114344,67.48,
TGT,77.05,20160225_114344,77.0,
AMZN,549.96,20160225_114344,555.62,
MSFT,51.1,20160225_114344,51.73,
OTIV,0.71,20160225_114344,0.71,
PXLW,1.955,20160225_114344,2.0,
GOGO,9.8099,20160225_114344,9.75,
HPQ,10.1,20160225_114349,10.13,
VZ,51.0,20160225_114349,50.9,
HTCKF,9.9,20160225_114349,9.9,
SNE,21.1063,20160225_114349,21.12,
ADBE,85.43,20160225_114349,84.76,
BAC,12.14,20160225_114349,12.14,
GPRO,11.41,20160225_114349,11.69,
FB,107.47,20160225_114349,107.09,
GOOG,698.04,20160225_114349,700.01,
AAPL,96.1599,20160225_114349,96.16,
F,12.2325,20160225_114349,12.11,
ARWR,3.8401,20160225_114349,3.86,
BWLD,158.14,20160225_114349,159.25,
BP,28.36,20160225_114349,28.83,
WMT,67.39,20160225_114349,67.48,
TGT,77.05,20160225_114349,77.0,
AMZN,549.875,20160225_114349,555.62,
MSFT,51.09,20160225_114349,51.73,
OTIV,0.71,20160225_114349,0.71,
PXLW,1.955,20160225_114349,2.0,
GOGO,9.8099,20160225_114349,9.75,
HPQ,10.1,20160225_114354,10.13,
VZ,51.0,20160225_114354,50.9,
HTCKF,9.9,20160225_114354,9.9,
SNE,21.1063,20160225_114354,21.12,
ADBE,85.43,20160225_114354,84.76,
BAC,12.14,20160225_114354,12.14,
GPRO,11.41,20160225_114354,11.69,
FB,107.454,20160225_114354,107.09,
GOOG,698.04,20160225_114354,700.01,
AAPL,96.1399,20160225_114354,96.16,
F,12.245,20160225_114354,12.11,
ARWR,3.8401,20160225_114354,3.86,
BWLD,158.14,20160225_114354,159.25,
BP,28.36,20160225_114354,28.83,
WMT,67.37,20160225_114354,67.48,
TGT,77.05,20160225_114354,77.0,
AMZN,549.975,20160225_114354,555.62,
MSFT,51.079,20160225_114354,51.73,
OTIV,0.71,20160225_114354,0.71,
PXLW,1.955,20160225_114354,2.0,
GOGO,9.8,20160225_114354,9.75,
HPQ,10.11,20160225_114359,10.13,
VZ,51.0,20160225_114359,50.9,
HTCKF,9.9,20160225_114359,9.9,
SNE,21.1063,20160225_114359,21.12,
ADBE,85.43,20160225_114359,84.76,
BAC,12.14,20160225_114359,12.14,
